N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
48		Теремок ТВ	https://www.youtube.com/user/TeremokTV	9259173570	9870000	3571	24 мая 2012 г.
49	Россия	Теремок - Песенки для детей	https://www.youtube.com/user/TeremokSongs	6068372174	9800000	1071	17 ноября 2014 г.
50	Украина	Boys and Toys	https://www.youtube.com/channel/UCWI7puXzGTPuxsoW2HD3XxQ	3923426347	9350000	503	2 сентября 2015 г.
51	Россия	FROST	https://www.youtube.com/user/YFrostA	3420070470	9340000	1763	2 октября 2012 г.
52	США	Watch Me	https://www.youtube.com/channel/UCGTl_sQxago30b5vfoMomCg	3091936570	9150000	792	27 сентября 2015 г.
53	Россия	ЛИТВИН	https://www.youtube.com/channel/UCy6p8krDY33mDRMt19YrlXg	693614426	9090000	140	5 ноября 2016 г.
54	Россия	БЕРИ И ДЕЛАЙ	https://www.youtube.com/channel/UCDRVc_LN4TSbD86Rl18l9kQ	2035162250	9050000	4511	30 октября 2017 г.
55	США	DenLion TV	https://www.youtube.com/channel/UCReKOr21TXvaWKQuIJ3Uh5g	3039957264	9050000	244	24 июня 2012 г.
56	Россия	Аид [VyacheslavOO]	https://www.youtube.com/user/VyacheslavOO	3832879515	9010000	2298	21 декабря 2012 г.
57	Россия	Россия 24	https://www.youtube.com/user/Russia24TV	9756090731	8950000	258560	20 января 2012 г.
58	США	MrLololoshka (Роман Фильченков)	https://www.youtube.com/user/MrLololoshka	3098270888	8820000	3226	28 мая 2012 г.
59	США	windy31	https://www.youtube.com/user/windy31LetsGoodPlays	3021915523	8780000	3905	30 августа 2012 г.
60		RizaNovaUZ	https://www.youtube.com/user/RizaNovaUZ	7701580423	8500000	6567	25 марта 2013 г.
61	Россия	ЕГОРИК	https://www.youtube.com/channel/UCUHQKxU-_DWsrwBxlKWgsew	961950556	8480000	260	12 июня 2019 г.
62	Россия	HomeAnimations - Мультики про танки	https://www.youtube.com/channel/UC-Bc-4nV2-Tk4Af2rqrmrjA	4400784467	8450000	784	1 сентября 2015 г.
63	Россия	Россия 1	https://www.youtube.com/channel/UC2D0dmLHKbIe9aACnlcTLPg	1254048146	8430000	13910	22 января 2015 г.
64	Россия	Говорящий Том и Друзья	https://www.youtube.com/channel/UCnBTGpEQ3LGPW2Shh7fiabg	3436801601	8410000	608	16 декабря 2014 г.
65	Украина	TheBrainDit	https://www.youtube.com/user/TheBrainDit	3060756616	8360000	8194	23 сентября 2011 г.
66		Mamix?	https://www.youtube.com/channel/UCZVOPJSmqPQQvaVnop13_EA	217834488	8340000	27	10 декабря 2016 г.
67	Россия	Телеканал ТНТ	https://www.youtube.com/user/TNTRussia	4032649883	8300000	7229	24 июля 2007 г.
68	Россия	Little Miss Sofia	https://www.youtube.com/channel/UC3p6RnGpU0QQ_H7eYbnH2AA	2853335814	8230000	252	26 января 2016 г.
69	Россия	СМОТРИМ. Русские сериалы	https://www.youtube.com/channel/UCcGkkZ3cu4wKTJKSNy_fDmw	2439452989	8120000	4193	31 марта 2015 г.
70	США	Dima Kids TV	https://www.youtube.com/channel/UCb1WBEEfA4e6FOLOKAH5j8w	1823797611	8080000	346	8 февраля 2016 г.
71	Россия	Coffi Channel	https://www.youtube.com/user/CoffiChannel	3613555191	8060000	5215	23 июня 2014 г.
72	Украина	vanzai	https://www.youtube.com/channel/UCw9L4gmA0nAsg6rlxBncByg	1632468442	8050000	247	18 июля 2015 г.
73	Россия	FixEye	https://www.youtube.com/channel/UCCiGUQiWcz3lKev49TX8-Ew	2722167467	8000000	1129	9 декабря 2015 г.
74	Россия	Первый канал	https://www.youtube.com/user/1tv	5636382044	7870000	28082	3 апреля 2006 г.
75	США	Milusik Lanusik	https://www.youtube.com/channel/UCE0juXWwPCEPdgHGAW91NtQ	3073349773	7830000	207	30 ноября 2016 г.
76	Россия	Данкар	https://www.youtube.com/user/DanKarChannel	1345630129	7720000	627	1 августа 2013 г.
77	Россия	Скорти	https://www.youtube.com/user/Divgazgolder	2397686747	7590000	2654	5 марта 2011 г.
78	Россия	LABELCOM	https://www.youtube.com/channel/UCNqktdxgAADBj36dC7VGOgg	1644117386	7500000	158	30 августа 2016 г.
79	Латвия	HouseMusicHD	https://www.youtube.com/channel/UCBvRF5oX4a2ncCOOn1IhoNw	2461852629	7320000	642	22 марта 2015 г.
80		sndk	https://www.youtube.com/user/sienduk	1672909383	7310000	274	26 апреля 2010 г.
81		TheKateClapp	https://www.youtube.com/user/TheKateClapp	898918007	7090000	443	6 декабря 2010 г.
82	США	Little Big	https://www.youtube.com/channel/UCu7TZ_ATWgjgD9IrNLdnYDA	3120837028	7080000	60	8 сентября 2015 г.
83	Россия	KTV	https://www.youtube.com/user/KLiZMaTB	1112087807	7050000	157	16 марта 2012 г.
84	Латвия	tophype	https://www.youtube.com/user/SteelBallsStatham	1248680193	7000000	1439	26 июня 2014 г.
85	Украина	TimOn ChaveS	https://www.youtube.com/user/ZgiraF	1237101786	6980000	803	12 октября 2013 г.
86	Украина	Трум Трум СЕЛЕКТ	https://www.youtube.com/channel/UCA8x119TMd1esbI3woeIbQg	2762748273	6900000	1675	19 апреля 2015 г.
87		Анимационные сериалы	https://www.youtube.com/user/KanalDisneyCartoons	5428030843	6860000	2212	17 марта 2014 г.
88	Россия	ShadowPriestok - Евгений Чернявский	https://www.youtube.com/user/Shadowpriestok	2509168659	6800000	3444	20 марта 2012 г.
89	Россия	Nick Jr. Россия	https://www.youtube.com/channel/UCSLZXHSv1aQDNeLN3GX6bew	2885294065	6790000	837	27 июля 2017 г.
90		Фиксики	https://www.youtube.com/user/fixiki	6442163907	6770000	1107	7 марта 2011 г.
91	Россия	Лунтик	https://www.youtube.com/user/luntik	10629606409	6730000	1365	13 февраля 2007 г.
92	Россия	Барбоскины	https://www.youtube.com/user/barboskinyonline	7264854070	6710000	1096	2 ноября 2011 г.
93	Беларусь	Lesha Maisak	https://www.youtube.com/channel/UCM0lWLQuQhEKwq0qhdWejQA	1218910543	6690000	352	1 января 2020 г.
94	Япония	Maryana Ro	https://www.youtube.com/user/MRilakkuma	771720132	6670000	170	8 января 2012 г.
95	Россия	Дима Гордей	https://www.youtube.com/user/dima91gordey	1058312601	6650000	792	28 октября 2009 г.
96	Украина	Alex Boyko	https://www.youtube.com/channel/UCKj4BooYGVlBTXW21nOwcgQ	2146643131	6650000	768	14 декабря 2013 г.
97	Россия	Funny Family Games tv	https://www.youtube.com/channel/UC18k1PkmSegPj7DgDpHCk-Q	6633249415	6640000	1232	21 мая 2016 г.
98	Россия	Anny May	https://www.youtube.com/channel/UCxz6gPUpL6l5WSTUObsH9MA	992570438	6590000	692	13 апреля 2016 г.
99	США	Mark Production	https://www.youtube.com/channel/UC33wRwkPyJ5H8HJNA2btSGQ	3099456933	6550000	470	19 июля 2017 г.
100	Россия	КЛИККЛАК	https://www.youtube.com/user/PrototypesLIVE	1055152829	6470000	278	27 июля 2012 г.
101	Россия	Алексей Навальный	https://www.youtube.com/user/NavalnyRu	1376162990	6410000	465	6 июля 2013 г.
102		EugenBro	https://www.youtube.com/channel/UCWVztZJW14GQ-jcQGsYDgYQ	2182380898	6390000	1339	24 июля 2015 г.
103	Россия	Sasha Spilberg	https://www.youtube.com/user/SaySasha	1084691684	6380000	384	19 мая 2010 г.
